sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,0.7260129451751709,185
0,0,1,unlearning,0.6339428424835205,1785
0,0,0,original,0.5581560134887695,185
0,0,0,unlearning,0.5437703132629395,185
1,0,1,original,0.7243320941925049,185
1,0,1,unlearning,0.6834316253662109,1785
1,0,0,original,0.5624620914459229,185
1,0,0,unlearning,0.5466039180755615,185
2,0,1,original,0.5490560531616211,185
2,0,1,unlearning,0.7648830413818359,1785
2,0,0,original,0.7662405967712402,185
2,0,0,unlearning,0.7105131149291992,185
3,0,1,original,0.5779728889465332,185
3,0,1,unlearning,0.6592240333557129,1785
3,0,0,original,0.5358762741088867,192
3,0,0,unlearning,0.8024263381958008,187
4,0,1,original,0.6485118865966797,185
4,0,1,unlearning,0.5313093662261963,1785
4,0,0,original,0.6873295307159424,185
4,0,0,unlearning,0.6769211292266846,185
