sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,0.6742701530456543,185
0,0,1,unlearning,0.4187915325164795,1785
0,0,0,original,0.40294504165649414,185
0,0,0,unlearning,0.5583298206329346,185
1,0,1,original,0.46354126930236816,185
1,0,1,unlearning,0.5293676853179932,1786
1,0,0,original,0.5106351375579834,191
1,0,0,unlearning,0.521369218826294,186
2,0,1,original,0.4401841163635254,185
2,0,1,unlearning,0.4589242935180664,1794
2,0,0,original,0.4524857997894287,185
2,0,0,unlearning,0.5497066974639893,185
3,0,1,original,0.4607057571411133,185
3,0,1,unlearning,0.5245373249053955,1785
3,0,0,original,0.5520017147064209,185
3,0,0,unlearning,0.5960161685943604,185
4,0,1,original,0.7133975028991699,185
4,0,1,unlearning,0.6085991859436035,1785
4,0,0,original,0.6382603645324707,185
4,0,0,unlearning,0.5285253524780273,185
