sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,25.338457822799683,24550
0,0,1,unlearning,25.565663814544678,24550
0,0,0,original,25.10070252418518,24549
0,0,0,unlearning,25.030540704727173,24549
0,2,1,original,25.042409658432007,24551
0,2,1,unlearning,25.304643869400024,24550
0,2,0,original,25.406062841415405,24549
0,2,0,unlearning,25.310216665267944,24549
0,3,1,original,25.263779878616333,24550
0,3,1,unlearning,25.223949670791626,24550
0,3,0,original,25.60151195526123,24549
0,3,0,unlearning,25.643789291381836,24549
0,4,1,original,24.761443853378296,24550
0,4,1,unlearning,25.154478073120117,24550
0,4,0,original,24.51037573814392,24549
0,4,0,unlearning,24.817795038223267,24549
0,5,1,original,24.953908681869507,24550
0,5,1,unlearning,24.813685417175293,24550
0,5,0,original,24.23642897605896,24549
0,5,0,unlearning,24.257203578948975,24549
0,6,1,original,24.419814109802246,24550
0,6,1,unlearning,24.816116094589233,24550
0,6,0,original,24.66343355178833,24549
0,6,0,unlearning,24.839701414108276,24549
0,7,1,original,24.930286169052124,24550
0,7,1,unlearning,25.123741149902344,24550
0,7,0,original,25.066082239151,24549
0,7,0,unlearning,25.019620895385742,24549
0,8,1,original,24.913240909576416,24550
0,8,1,unlearning,24.723399877548218,24550
0,8,0,original,24.79038906097412,24549
0,8,0,unlearning,24.801467418670654,24549
0,9,1,original,24.705077648162842,24550
0,9,1,unlearning,25.01050114631653,24550
0,9,0,original,0.005728006362915039,1
0,9,0,unlearning,0.002012014389038086,1
0,10,1,original,25.07048463821411,24550
0,10,1,unlearning,25.324185609817505,24550
0,10,0,original,24.948228359222412,24549
0,10,0,unlearning,24.892858743667603,24549
0,11,1,original,25.331618070602417,24550
0,11,1,unlearning,26.289784908294678,24551
0,11,0,original,25.29325270652771,24549
0,11,0,unlearning,24.95860481262207,24549
0,12,1,original,25.067575931549072,24550
0,12,1,unlearning,25.37601613998413,24550
0,12,0,original,24.722999334335327,24549
0,12,0,unlearning,25.43384289741516,24549
0,13,1,original,24.835928678512573,24550
0,13,1,unlearning,24.716741800308228,24550
0,13,0,original,24.7876718044281,24549
0,13,0,unlearning,24.446072578430176,24549
0,14,1,original,25.54482388496399,24550
0,14,1,unlearning,25.234663724899292,24550
0,14,0,original,25.565189838409424,24550
0,14,0,unlearning,25.04610514640808,24549
0,15,1,original,24.9213764667511,24550
0,15,1,unlearning,25.071412324905396,24550
0,15,0,original,24.582820653915405,24549
0,15,0,unlearning,24.875049352645874,24549
0,16,1,original,25.63033366203308,24550
0,16,1,unlearning,25.360156297683716,24550
0,16,0,original,25.286763191223145,24549
0,16,0,unlearning,24.850019454956055,24549
0,17,1,original,25.328011989593506,24550
0,17,1,unlearning,25.270816564559937,24551
0,17,0,original,24.902478218078613,24549
0,17,0,unlearning,24.827060222625732,24549
0,18,1,original,24.62240505218506,24550
0,18,1,unlearning,24.979739665985107,24550
0,18,0,original,24.540591716766357,24549
0,18,0,unlearning,24.843603134155273,24549
0,19,1,original,24.761738061904907,24551
0,19,1,unlearning,24.832425832748413,24550
0,19,0,original,25.36430072784424,24549
0,19,0,unlearning,25.133893489837646,24549
1,0,1,original,24.989540815353394,24554
1,0,1,unlearning,25.67948818206787,24553
1,0,0,original,25.951144456863403,24549
1,0,0,unlearning,25.524990797042847,24549
1,1,1,original,25.198565244674683,24550
1,1,1,unlearning,24.82250690460205,24550
1,1,0,original,24.482465982437134,24549
1,1,0,unlearning,25.194321870803833,24549
1,2,1,original,25.22377586364746,24550
1,2,1,unlearning,24.908510446548462,24550
1,2,0,original,25.088018894195557,24549
1,2,0,unlearning,25.342482089996338,24549
1,3,1,original,25.239139556884766,24550
1,3,1,unlearning,25.17424488067627,24550
1,3,0,original,25.29095959663391,24550
1,3,0,unlearning,25.185206174850464,24549
1,4,1,original,25.18509078025818,24551
1,4,1,unlearning,24.869178295135498,24550
1,4,0,original,25.071497917175293,24549
1,4,0,unlearning,25.361626148223877,24549
1,5,1,original,25.19302225112915,24550
1,5,1,unlearning,25.1272029876709,24550
1,5,0,original,24.561700582504272,24549
1,5,0,unlearning,24.810051918029785,24549
1,6,1,original,24.654296398162842,24550
1,6,1,unlearning,25.01319146156311,24550
1,6,0,original,24.556768655776978,24549
1,6,0,unlearning,24.728967428207397,24549
1,7,1,original,24.568104028701782,24555
1,7,1,unlearning,24.632629871368408,24551
1,7,0,original,25.09389901161194,24549
1,7,0,unlearning,24.684873342514038,24549
1,8,1,original,25.304422616958618,24550
1,8,1,unlearning,25.480620861053467,24550
1,8,0,original,24.85765027999878,24549
1,8,0,unlearning,24.673150777816772,24549
1,9,1,original,24.64343023300171,24550
1,9,1,unlearning,25.51710605621338,24550
1,9,0,original,25.00934076309204,24549
1,9,0,unlearning,24.634432792663574,24549
1,10,1,original,24.855400562286377,24550
1,10,1,unlearning,24.839746952056885,24550
1,10,0,original,25.218422174453735,24550
1,10,0,unlearning,25.16577124595642,24549
1,11,1,original,24.303300619125366,24550
1,11,1,unlearning,24.80333423614502,24550
1,11,0,original,25.03138542175293,24549
1,11,0,unlearning,25.265804290771484,24549
1,12,1,original,25.84623646736145,24551
1,12,1,unlearning,25.053169012069702,24551
1,12,0,original,25.44220232963562,24549
1,12,0,unlearning,25.328203201293945,24549
1,13,1,original,25.19832420349121,24550
1,13,1,unlearning,25.194817781448364,24550
1,13,0,original,25.097213745117188,24549
1,13,0,unlearning,25.231172561645508,24549
1,14,1,original,25.308901071548462,24550
1,14,1,unlearning,25.020520210266113,24550
1,14,0,original,25.069255828857422,24549
1,14,0,unlearning,24.67725443840027,24549
