sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
1,19,0,unlearning,25.018412351608276,24549
2,0,1,original,25.159999132156372,24550
2,0,1,unlearning,24.71769070625305,24550
2,0,0,original,24.297885417938232,24556
2,0,0,unlearning,24.514817476272583,24549
2,1,1,original,24.342690229415894,24550
2,1,1,unlearning,24.025196075439453,24550
2,1,0,original,24.03791642189026,24549
2,1,0,unlearning,25.007469177246094,24549
2,2,1,original,24.695034742355347,24550
2,2,1,unlearning,24.562291383743286,24550
2,2,0,original,24.874295473098755,24551
2,2,0,unlearning,24.666488647460938,24550
2,3,1,original,24.972280263900757,24550
2,3,1,unlearning,24.83321475982666,24552
2,3,0,original,0.0017902851104736328,1
2,3,0,unlearning,0.0,1
2,4,1,original,24.686318397521973,24550
2,4,1,unlearning,24.57019805908203,24550
2,4,0,original,24.83507513999939,24549
2,4,0,unlearning,24.911471128463745,24549
2,5,1,original,24.81233859062195,24550
2,5,1,unlearning,24.546767473220825,24550
2,5,0,original,24.483856678009033,24549
2,5,0,unlearning,24.656291484832764,24549
2,6,1,original,24.391685485839844,24550
2,6,1,unlearning,24.202905893325806,24552
2,6,0,original,24.281521797180176,24549
2,6,0,unlearning,24.472604036331177,24549
2,7,1,original,24.698771238327026,24550
2,7,1,unlearning,24.92302680015564,24550
2,7,0,original,24.13727045059204,24549
2,7,0,unlearning,24.67699670791626,24550
2,8,1,original,24.84189486503601,24550
2,8,1,unlearning,24.82314920425415,24550
2,8,0,original,24.517333984375,24549
2,8,0,unlearning,24.545008659362793,24549
2,9,1,original,24.963825464248657,24550
2,9,1,unlearning,25.398171424865723,24550
2,9,0,original,25.234583377838135,24549
2,9,0,unlearning,24.405115604400635,24549
2,10,1,original,24.173006057739258,24550
2,10,1,unlearning,24.48411798477173,24550
2,10,0,original,24.029825448989868,24549
2,10,0,unlearning,24.245720386505127,24549
2,11,1,original,24.37702751159668,24556
2,11,1,unlearning,24.252413034439087,24550
2,11,0,original,24.670028686523438,24549
2,11,0,unlearning,24.598787784576416,24549
2,12,1,original,24.61125874519348,24550
2,12,1,unlearning,24.920705318450928,24550
2,12,0,original,0.001982450485229492,1
2,12,0,unlearning,0.0020017623901367188,1
2,13,1,original,24.967372179031372,24550
2,13,1,unlearning,24.15731906890869,24550
2,13,0,original,0.0,1
2,13,0,unlearning,0.0,1
2,14,1,original,24.937225341796875,24550
2,14,1,unlearning,24.060063362121582,24550
2,14,0,original,24.28376340866089,24549
2,14,0,unlearning,24.281935453414917,24549
2,15,1,original,24.280795097351074,24550
2,15,1,unlearning,24.626519441604614,24550
2,15,0,original,25.190609455108643,24549
2,15,0,unlearning,25.136155366897583,24549
2,16,1,original,24.9843270778656,24550
2,16,1,unlearning,24.81727123260498,24550
2,16,0,original,24.67144513130188,24549
2,16,0,unlearning,24.39320421218872,24549
2,17,1,original,24.47836661338806,24550
2,17,1,unlearning,24.834102630615234,24550
2,17,0,original,25.059449434280396,24549
2,17,0,unlearning,25.62854838371277,24549
2,18,1,original,25.109254121780396,24558
2,18,1,unlearning,24.690685749053955,24550
2,18,0,original,24.50274419784546,24549
2,18,0,unlearning,24.51421070098877,24549
2,19,1,original,24.6077241897583,24550
2,19,1,unlearning,24.733851194381714,24550
2,19,0,original,24.1883602142334,24549
2,19,0,unlearning,24.967907905578613,24549
3,0,1,original,24.39122462272644,24553
