sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,2.6456778049468994,2390
0,0,1,unlearning,2.6619536876678467,2390
0,0,0,original,2.6996357440948486,2389
0,0,0,unlearning,2.5900261402130127,2389
0,1,1,original,2.6057026386260986,2390
0,1,1,unlearning,2.6139066219329834,2390
0,1,0,original,2.6241366863250732,2389
0,1,0,unlearning,2.590088367462158,2389
0,3,1,original,2.5188260078430176,2391
0,3,1,unlearning,2.6198558807373047,2390
0,3,0,original,2.556276798248291,2390
0,3,0,unlearning,2.6306891441345215,2389
0,4,1,original,2.618008613586426,2390
0,4,1,unlearning,2.6450531482696533,2390
0,4,0,original,2.771664619445801,2389
0,4,0,unlearning,2.650106430053711,2389
0,5,1,original,2.5810909271240234,2390
0,5,1,unlearning,2.655102491378784,2390
0,5,0,original,2.6517863273620605,2389
0,5,0,unlearning,2.7825686931610107,2389
0,6,1,original,2.638049840927124,2390
0,6,1,unlearning,2.7091305255889893,2390
0,6,0,original,2.9600255489349365,2389
0,6,0,unlearning,2.7010860443115234,2389
0,7,1,original,2.762195110321045,2390
0,7,1,unlearning,2.6478209495544434,2390
0,7,0,original,2.629995346069336,2389
0,7,0,unlearning,2.788740873336792,2389
0,8,1,original,2.6939401626586914,2390
0,8,1,unlearning,2.8212788105010986,2391
0,8,0,original,2.6933481693267822,2389
0,8,0,unlearning,2.7311058044433594,2389
0,9,1,original,2.8346686363220215,2390
0,9,1,unlearning,2.5332229137420654,2390
0,9,0,original,0.00618743896484375,1
0,9,0,unlearning,0.0,1
0,10,1,original,2.6148273944854736,2390
0,10,1,unlearning,2.6050994396209717,2390
0,10,0,original,2.9402449131011963,2393
0,10,0,unlearning,2.6555681228637695,2390
0,11,1,original,2.6898908615112305,2390
0,11,1,unlearning,2.570054769515991,2390
0,11,0,original,2.6761767864227295,2389
0,11,0,unlearning,2.691908597946167,2389
0,12,1,original,2.7100987434387207,2390
0,12,1,unlearning,2.580933094024658,2390
0,12,0,original,2.7389795780181885,2389
0,12,0,unlearning,2.7130680084228516,2389
0,13,1,original,2.7154335975646973,2390
0,13,1,unlearning,2.740245819091797,2390
0,13,0,original,2.7322304248809814,2389
0,13,0,unlearning,2.489722967147827,2389
0,14,1,original,2.665745735168457,2390
0,14,1,unlearning,2.738690137863159,2393
0,14,0,original,2.59910249710083,2389
0,14,0,unlearning,2.601745128631592,2389
0,15,1,original,2.528726816177368,2390
0,15,1,unlearning,2.79355788230896,2391
0,15,0,original,2.8964102268218994,2389
0,15,0,unlearning,2.7214696407318115,2389
0,17,1,original,2.998199462890625,2391
0,17,1,unlearning,2.791255235671997,2390
0,17,0,original,3.076317071914673,2389
0,17,0,unlearning,2.8999810218811035,2389
0,18,1,original,3.5953471660614014,2390
0,18,1,unlearning,2.974644899368286,2391
0,18,0,original,2.7200047969818115,2389
0,18,0,unlearning,2.6299755573272705,2389
0,19,1,original,2.5495858192443848,2390
0,19,1,unlearning,2.7140283584594727,2390
0,19,0,original,2.7499003410339355,2389
0,19,0,unlearning,2.7302627563476562,2389
1,0,1,original,2.649836778640747,2390
1,0,1,unlearning,2.765984535217285,2390
1,0,0,original,2.6975862979888916,2390
1,0,0,unlearning,2.890010118484497,2400
1,1,1,original,2.954000949859619,2390
1,1,1,unlearning,2.804544448852539,2390
1,1,0,original,2.749962329864502,2389
1,1,0,unlearning,2.695590019226074,2389
1,2,1,original,2.7901830673217773,2390
1,2,1,unlearning,2.709907054901123,2390
1,2,0,original,2.815868377685547,2389
1,2,0,unlearning,2.751385450363159,2389
1,3,1,original,2.6272706985473633,2391
1,3,1,unlearning,2.7530105113983154,2390
1,3,0,original,3.5899157524108887,2389
1,3,0,unlearning,4.229845285415649,2389
1,4,1,original,3.3100242614746094,2390
1,4,1,unlearning,3.1697351932525635,2390
1,4,0,original,3.3599228858947754,2389
1,4,0,unlearning,2.8898816108703613,2389
1,5,1,original,3.309992551803589,2390
1,5,1,unlearning,3.599592924118042,2390
1,5,0,original,3.390195846557617,2389
1,5,0,unlearning,2.959812641143799,2390
1,6,1,original,2.790165901184082,2390
1,6,1,unlearning,2.7542519569396973,2390
1,6,0,original,2.978273391723633,2389
1,6,0,unlearning,3.085468292236328,2389
1,7,1,original,2.829984188079834,2390
1,7,1,unlearning,2.9097726345062256,2390
1,7,0,original,2.9135684967041016,2389
1,7,0,unlearning,2.7618932723999023,2390
1,8,1,original,2.8563520908355713,2390
1,8,1,unlearning,3.0232129096984863,2390
1,8,0,original,3.082421064376831,2389
