sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,2.6496174335479736,1062
0,0,1,unlearning,2.5650928020477295,2662
0,0,0,original,2.8298330307006836,1062
0,0,0,unlearning,3.5408215522766113,1062
1,0,1,original,3.6750707626342773,1062
1,0,1,unlearning,6.454197645187378,2662
1,0,0,original,6.5857226848602295,1062
1,0,0,unlearning,4.31353235244751,1065
2,0,1,original,3.7162492275238037,1062
2,0,1,unlearning,3.561673879623413,2662
2,0,0,original,3.6020548343658447,1062
2,0,0,unlearning,3.119642972946167,1062
3,0,1,original,4.667556524276733,1062
3,0,1,unlearning,6.533770561218262,2662
3,0,0,original,4.410308122634888,1062
3,0,0,unlearning,3.4681146144866943,1062
4,0,1,original,3.765808582305908,1062
4,0,1,unlearning,3.7583534717559814,2662
4,0,0,original,4.253253936767578,1062
4,0,0,unlearning,3.99464750289917,1062
