sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,4.131242752075195,1062
0,0,1,unlearning,3.6764774322509766,2662
0,0,0,original,3.905409574508667,1062
0,0,0,unlearning,6.877751350402832,1062
1,0,1,original,7.302123308181763,1062
1,0,1,unlearning,6.792288780212402,2662
1,0,0,original,6.827484846115112,1062
1,0,0,unlearning,6.842150688171387,1062
2,0,1,original,7.2875213623046875,1062
2,0,1,unlearning,3.513380527496338,2663
2,0,0,original,3.849424362182617,1062
2,0,0,unlearning,3.504882574081421,1062
3,0,1,original,3.634246587753296,1062
3,0,1,unlearning,3.5659124851226807,2662
3,0,0,original,3.877293825149536,1062
3,0,0,unlearning,3.3668298721313477,1062
4,0,1,original,3.667961597442627,1062
4,0,1,unlearning,3.9068591594696045,2662
4,0,0,original,3.859656572341919,1062
4,0,0,unlearning,2.9308090209960938,1062
