sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,0.633014440536499,185
0,0,1,unlearning,0.36565256118774414,1785
0,0,0,original,0.3836638927459717,185
0,0,0,unlearning,0.40202927589416504,185
1,0,1,original,0.5860462188720703,185
1,0,1,unlearning,0.4873342514038086,1785
1,0,0,original,0.41100263595581055,185
1,0,0,unlearning,0.6151423454284668,185
2,0,1,original,0.7107408046722412,185
2,0,1,unlearning,0.6840817928314209,1785
2,0,0,original,0.7750599384307861,186
2,0,0,unlearning,0.8863444328308105,193
3,0,1,original,0.9655172824859619,186
3,0,1,unlearning,1.0422372817993164,1785
3,0,0,original,1.0351617336273193,185
3,0,0,unlearning,1.1084702014923096,187
4,0,1,original,0.986074686050415,185
4,0,1,unlearning,1.0598254203796387,1785
4,0,0,original,0.9996764659881592,185
4,0,0,unlearning,1.0924720764160156,185
