sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,0.9512536525726318,185
0,0,1,unlearning,1.0135235786437988,1785
0,0,0,original,0.9654738903045654,185
0,0,0,unlearning,1.1685547828674316,185
1,0,1,original,1.0452492237091064,202
1,0,1,unlearning,1.0426766872406006,1785
1,0,0,original,1.0457875728607178,185
1,0,0,unlearning,1.0421135425567627,185
2,0,1,original,0.9661068916320801,185
2,0,1,unlearning,1.042391300201416,1786
2,0,0,original,1.0283617973327637,185
2,0,0,unlearning,1.0272784233093262,185
3,0,1,original,0.9835381507873535,185
3,0,1,unlearning,0.9749209880828857,1785
3,0,0,original,1.0933215618133545,185
3,0,0,unlearning,0.9658756256103516,185
4,0,1,original,0.6317117214202881,185
4,0,1,unlearning,0.5828409194946289,1785
4,0,0,original,0.39289307594299316,185
4,0,0,unlearning,0.4101264476776123,185
