sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,1.0441384315490723,185
0,0,1,unlearning,1.0268619060516357,1785
0,0,0,original,0.9396965503692627,185
0,0,0,unlearning,0.9635307788848877,185
1,0,1,original,0.9975347518920898,185
1,0,1,unlearning,1.0121777057647705,1785
1,0,0,original,0.9951918125152588,185
1,0,0,unlearning,0.9953370094299316,185
2,0,1,original,0.9492945671081543,186
2,0,1,unlearning,1.0730171203613281,1785
2,0,0,original,1.0442650318145752,185
2,0,0,unlearning,0.9328634738922119,185
3,0,1,original,0.9992263317108154,185
3,0,1,unlearning,1.0344722270965576,1785
3,0,0,original,0.798945426940918,185
3,0,0,unlearning,0.7767162322998047,185
4,0,1,original,0.6671276092529297,185
4,0,1,unlearning,0.4324018955230713,1785
4,0,0,original,0.44689369201660156,185
4,0,0,unlearning,0.5685398578643799,185
