sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,0.6142902374267578,185
0,0,1,unlearning,0.4261043071746826,1785
0,0,0,original,0.5372922420501709,185
0,0,0,unlearning,0.7904539108276367,185
1,0,1,original,0.6953372955322266,185
1,0,1,unlearning,0.7417795658111572,1785
1,0,0,original,0.7758479118347168,185
1,0,0,unlearning,0.8378462791442871,185
2,0,1,original,0.7103767395019531,185
2,0,1,unlearning,0.7099900245666504,1785
2,0,0,original,0.8059632778167725,185
2,0,0,unlearning,0.9987149238586426,185
3,0,1,original,1.076385736465454,185
3,0,1,unlearning,0.9482784271240234,1785
3,0,0,original,0.8930597305297852,185
3,0,0,unlearning,0.9477887153625488,185
4,0,1,original,1.0124428272247314,185
4,0,1,unlearning,1.0607500076293945,1785
4,0,0,original,1.060570478439331,185
4,0,0,unlearning,1.0016767978668213,185
