sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,0.9813411235809326,187
0,0,1,unlearning,0.9523804187774658,1785
0,0,0,original,0.9538934230804443,193
0,0,0,unlearning,1.06404709815979,185
1,0,1,original,1.0491282939910889,185
1,0,1,unlearning,0.955359935760498,1785
1,0,0,original,0.9042530059814453,185
1,0,0,unlearning,1.0169990062713623,185
2,0,1,original,0.9511213302612305,185
2,0,1,unlearning,0.9489507675170898,1785
2,0,0,original,1.0912342071533203,185
2,0,0,unlearning,0.9988918304443359,185
3,0,1,original,1.0807805061340332,185
3,0,1,unlearning,0.937941312789917,1785
3,0,0,original,0.983731746673584,185
3,0,0,unlearning,0.9981858730316162,185
4,0,1,original,1.0330936908721924,185
4,0,1,unlearning,1.0594406127929688,1785
4,0,0,original,0.9358954429626465,185
4,0,0,unlearning,0.9356915950775146,185
