sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,1.172774314880371,185
0,0,1,unlearning,0.7345592975616455,1785
0,0,0,original,0.7449569702148438,185
0,0,0,unlearning,0.7287294864654541,185
1,0,1,original,0.7305028438568115,185
1,0,1,unlearning,0.774529218673706,1785
1,0,0,original,0.8852570056915283,186
1,0,0,unlearning,0.7129948139190674,185
2,0,1,original,0.8247227668762207,185
2,0,1,unlearning,0.9486331939697266,1785
2,0,0,original,1.0410983562469482,185
2,0,0,unlearning,1.080063819885254,205
3,0,1,original,0.9458904266357422,185
3,0,1,unlearning,0.9433724880218506,1785
3,0,0,original,0.9370439052581787,185
3,0,0,unlearning,1.0069489479064941,185
4,0,1,original,0.9360947608947754,190
4,0,1,unlearning,0.919856071472168,1785
4,0,0,original,0.919654369354248,185
4,0,0,unlearning,1.0792207717895508,185
