sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,2.7921290397644043,1062
0,0,1,unlearning,3.155035972595215,2662
0,0,0,original,3.463191509246826,1062
0,0,0,unlearning,3.7748262882232666,1062
1,0,1,original,3.543306350708008,1062
1,0,1,unlearning,2.885607957839966,2662
1,0,0,original,3.6548476219177246,1062
1,0,0,unlearning,3.2612600326538086,1062
2,0,1,original,3.4261298179626465,1063
2,0,1,unlearning,2.7826290130615234,2662
2,0,0,original,3.490173101425171,1062
2,0,0,unlearning,3.9074199199676514,1062
3,0,1,original,4.522118330001831,1062
3,0,1,unlearning,3.7207326889038086,2662
3,0,0,original,3.5119333267211914,1062
3,0,0,unlearning,3.6875503063201904,1062
4,0,1,original,2.3912336826324463,1062
4,0,1,unlearning,3.37882661819458,2662
4,0,0,original,3.648205041885376,1062
4,0,0,unlearning,3.004696846008301,1062
