sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,3.2789902687072754,1063
0,0,1,unlearning,2.8898563385009766,2662
0,0,0,original,3.2975339889526367,1062
0,0,0,unlearning,3.3573720455169678,1062
1,0,1,original,3.555034637451172,1131
1,0,1,unlearning,3.2174479961395264,2662
1,0,0,original,3.9668734073638916,1062
1,0,0,unlearning,3.545483350753784,1062
2,0,1,original,3.9298880100250244,1062
2,0,1,unlearning,3.7992327213287354,2662
2,0,0,original,3.3367533683776855,1062
2,0,0,unlearning,3.3566412925720215,1062
3,0,1,original,2.6296958923339844,1062
3,0,1,unlearning,3.5020692348480225,2662
3,0,0,original,3.0886411666870117,1062
3,0,0,unlearning,3.391648530960083,1062
4,0,1,original,2.760591745376587,1062
4,0,1,unlearning,3.236952066421509,2662
4,0,0,original,3.7402524948120117,1062
4,0,0,unlearning,3.582859992980957,1062
