sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,2.9927077293395996,1062
0,0,1,unlearning,2.6189723014831543,2663
0,0,0,original,3.2736001014709473,1062
0,0,0,unlearning,4.287992477416992,1062
1,0,1,original,3.937592029571533,1062
1,0,1,unlearning,3.4057607650756836,2662
1,0,0,original,4.736394882202148,1062
1,0,0,unlearning,4.467268228530884,1062
2,0,1,original,3.9254941940307617,1062
2,0,1,unlearning,3.1930177211761475,2662
2,0,0,original,3.6428580284118652,1062
2,0,0,unlearning,3.8746840953826904,1062
3,0,1,original,3.9272918701171875,1062
3,0,1,unlearning,3.6982924938201904,2662
3,0,0,original,2.947345495223999,1062
3,0,0,unlearning,3.5643458366394043,1062
4,0,1,original,4.325276613235474,1062
4,0,1,unlearning,3.0020346641540527,2662
4,0,0,original,3.860743284225464,1062
4,0,0,unlearning,3.105745792388916,1062
