sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,3.6355271339416504,1062
0,0,1,unlearning,3.7790539264678955,2662
0,0,0,original,3.5468716621398926,1071
0,0,0,unlearning,3.3952279090881348,1062
1,0,1,original,2.9487438201904297,1062
1,0,1,unlearning,3.5003609657287598,2662
1,0,0,original,3.515683889389038,1062
1,0,0,unlearning,3.7546887397766113,1062
2,0,1,original,3.864244222640991,1062
2,0,1,unlearning,4.1120452880859375,2662
2,0,0,original,3.60272479057312,1062
2,0,0,unlearning,3.7295632362365723,1062
3,0,1,original,4.058931827545166,1062
3,0,1,unlearning,3.915353536605835,2662
3,0,0,original,3.507046699523926,1062
3,0,0,unlearning,3.768519639968872,1062
4,0,1,original,4.01425838470459,1062
4,0,1,unlearning,3.7981433868408203,2662
4,0,0,original,3.4545321464538574,1062
4,0,0,unlearning,4.007365703582764,1062
