sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,3.8980417251586914,1062
0,0,1,unlearning,4.3249735832214355,2662
0,0,0,original,4.719975709915161,1062
0,0,0,unlearning,3.330563545227051,1062
1,0,1,original,3.879467248916626,1062
1,0,1,unlearning,3.1742899417877197,2662
1,0,0,original,2.940300464630127,1062
1,0,0,unlearning,3.804715394973755,1064
2,0,1,original,3.6746058464050293,1062
2,0,1,unlearning,3.3006322383880615,2670
2,0,0,original,3.3693909645080566,1062
2,0,0,unlearning,3.4104762077331543,1062
3,0,1,original,3.9528095722198486,1062
3,0,1,unlearning,3.672680377960205,2662
3,0,0,original,4.576070785522461,1062
3,0,0,unlearning,4.530741930007935,1063
4,0,1,original,4.294533967971802,1066
4,0,1,unlearning,3.5337893962860107,2663
4,0,0,original,3.5235164165496826,1067
4,0,0,unlearning,3.5497090816497803,1062
