sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,3.360531806945801,1062
0,0,1,unlearning,3.469572067260742,2662
0,0,0,original,3.530731201171875,1067
0,0,0,unlearning,3.3886477947235107,1063
1,0,1,original,3.582521677017212,1062
1,0,1,unlearning,3.919445276260376,2662
1,0,0,original,3.8263885974884033,1062
1,0,0,unlearning,3.8702151775360107,1062
2,0,1,original,3.9167940616607666,1062
2,0,1,unlearning,4.1607654094696045,2662
2,0,0,original,3.341578245162964,1062
2,0,0,unlearning,3.6415114402770996,1062
3,0,1,original,3.470844030380249,1062
3,0,1,unlearning,3.18057918548584,2662
3,0,0,original,3.8700103759765625,1062
3,0,0,unlearning,3.4124579429626465,1062
4,0,1,original,3.622549057006836,1062
4,0,1,unlearning,3.5988569259643555,2662
4,0,0,original,3.58560848236084,1062
4,0,0,unlearning,2.8026349544525146,1062
